rownames	cd14_sample1	cd14_sample2	cd4_sample1	cd4_sample2	cd14_sample3	cd14_sample4	cd14_sample5	cd14_sample6	cd4_sample3	cd4_sample4	cd4_sample5	cd4_sample6
LINC01132	3	0	204	1	0	54	23	0	0	0	0	8
LINC01133	0	0	3	1	1	5	0	0	2	2	0	3
LINC01134	15	7	5	3	3	2	43	19	1	0	1	5
LINC01135	0	3	0	5	0	6	5	0	27	0	11	7
LINC01136	22	35	4	24	44	14	34	29	24	22	0	32
LINC01137	80	0	49	137	90	71	164	51	154	289	305	203
LINC01138	209	502	686	456	266	362	465	542	658	597	961	1,317
LINC01139	46	0	26	0	0	0	0	0	0	0	0	3
LINC01140	2	0	5	0	21	14	16	0	0	6	0	14
LINC01141	0	0	1	1	0	0	0	0	0	0	1	2
LINC01142	0	0	22	0	0	0	0	0	0	0	0	0
LINC01143	0	5	5	3	1	0	0	0	0	0	0	0
LINC01144	1	0	57	67	21	53	23	23	75	34	22	68
LINC01146	20	0	0	0	0	2	3	16	0	4	5	3
LINC01150	0	1	3	1	30	39	23	43	0	0	1	0
LINC01151	0	0	0	3	3	0	0	6	0	0	1	0
LINC01152	166	79	45	1	0	16	0	0	19	0	0	19
LINC01158	1	1	28	32	0	0	0	0	3	1	0	2
LINC01159	47	0	13	0	0	0	4	0	16	0	2	0
LINC01160	7	9	12	11	36	14	54	1	1	0	3	2
LINC01162	0	0	0	0	0	0	0	0	0	0	0	0
LINC01163	22	0	8	24	0	0	0	0	52	33	34	49
LINC01164	0	0	0	0	0	0	71	0	0	0	2	0
LINC01166	32	0	0	0	0	0	0	0	0	0	0	0
LINC01167	0	0	0	0	0	0	0	0	0	0	0	0
LINC01168	0	0	1	0	0	3	0	0	0	0	0	0
LINC01169	1	1	0	2	3	5	11	0	1	2	0	4
LINC01170	0	2	4	3	0	0	0	0	3	2	0	1
LINC01176	50	0	6	18	9	8	39	24	17	10	16	42
LINC01177	4	0	1	0	0	0	0	0	0	0	0	0
LINC01179	8	3	8	5	4	1	3	6	9	1	6	3
LINC01180	21	61	107	24	15	16	18	30	12	10	11	31
LINC01182	6	0	1	5	0	0	4	0	2	0	0	29
LINC01184	57	0	115	223	82	43	69	26	300	361	244	143
LINC01185	52	0	6	0	3	2	0	0	2	0	0	0
LINC01186	0	0	0	0	0	0	0	0	0	0	0	0
LINC01187	29	0	0	13	1	6	10	1	1	0	1	3
LINC01189	1	0	1	1	0	0	0	0	7	3	3	0
LINC01191	0	15	12	0	0	5	0	21	15	6	2	6
LINC01192	2	36	13	9	0	0	1	0	16	0	0	3
LINC01193	105	0	79	17	0	0	1	0	0	0	2	10
LINC01194	4	0	4	0	0	0	0	0	0	0	0	0
LINC01195	0	0	0	0	0	0	0	0	0	0	0	0
LINC01197	31	2	65	0	0	0	14	1	5	0	0	5
LINC01198	0	0	0	0	0	0	0	0	0	0	0	0
LINC01201	0	0	0	0	0	0	0	0	0	0	0	0
LINC01202	0	0	6	4	0	0	0	0	0	0	1	0
LINC01203	0	0	0	0	0	0	0	0	0	0	0	0
LINC01204	55	16	98	4	1	16	15	12	3	16	2	30
LINC01205	59	30	71	16	7	10	10	2	15	1	7	35
LINC01206	143	119	235	12	7	6	5	0	8	2	2	20
LINC01207	67	217	165	9	16	25	26	1	10	8	6	8
LINC01208	1	0	17	0	0	0	0	0	0	0	0	0
LINC01209	64	107	102	22	5	1	19	3	14	10	11	17
LINC01210	3	0	0	12	0	0	0	0	0	0	0	0
LINC01212	22	4	9	6	0	2	1	1	0	2	11	3
LINC01213	0	0	5	12	0	0	0	0	1	0	2	2
LINC01214	5	0	3	0	0	0	3	0	0	0	0	0
LINC01215	0	1	96	105	0	2	0	32	151	202	258	223
LINC01216	1	0	0	0	0	0	0	0	0	0	3	0
LINC01219	0	0	0	0	0	0	0	0	0	0	0	0
LINC01220	3	0	0	0	13	6	0	2	0	0	0	0
LINC01221	3	0	0	0	0	0	0	0	0	0	0	0
LINC01222	0	0	1	0	0	0	0	0	0	0	0	0
LINC01224	6	2	3	3	0	1	0	5	13	1	0	10
LINC01225	0	0	0	0	0	0	0	0	0	0	2	0
LINC01226	45	176	54	46	7	1	1	5	3	0	1	1
LINC01227	1	0	12	0	0	0	0	0	0	0	0	2
LINC01229	0	0	10	1	0	0	4	0	0	0	0	5
LINC01230	1	0	0	0	0	0	5	0	0	0	0	1
LINC01231	0	0	0	0	0	0	0	0	0	0	0	0
LINC01232	11	106	62	5	0	10	43	1	11	12	23	27
LINC01233	0	0	0	0	0	0	0	0	0	0	0	0
LINC01234	17	0	0	0	0	0	0	0	0	0	0	0
LINC01237	0	0	0	0	0	0	0	2	13	0	3	12
LINC01239	11	0	66	5	0	0	0	8	5	0	1	18
LINC01241	5	0	48	0	0	0	8	0	0	0	2	3
LINC01242	21	146	50	20	0	0	0	0	8	4	0	0
LINC01246	0	0	0	0	0	0	0	0	0	0	0	0
LINC01247	116	3	249	3	4	2	0	24	15	0	0	5
LINC01248	7	7	6	29	0	0	0	0	1	0	2	9
LINC01249	40	2	160	0	0	0	0	0	0	0	0	0
LINC01250	3	0	1	0	0	0	13	0	39	0	0	4
LINC01251	9	0	6	0	0	0	0	0	0	1	2	0
LINC01252	70	27	84	112	17	8	3	1	50	29	7	60
LINC01254	26	102	0	0	0	0	0	0	0	0	0	0
LINC01255	0	0	0	7	0	2	0	0	0	0	0	0
LINC01256	0	0	0	0	0	0	0	0	0	0	0	0
LINC01257	0	0	0	0	0	2	0	0	4	1	0	7
LINC01258	0	0	0	0	0	0	0	0	0	0	2	1
LINC01260	1	0	53	4	0	1	1	0	101	146	347	161
LINC01262	7	0	0	0	0	0	0	0	0	0	0	0
LINC01264	1	0	0	0	0	0	1	0	0	0	0	0
LINC01265	0	0	28	12	0	0	0	0	0	0	0	0
LINC01266	0	0	0	1	0	0	11	2	0	0	6	1
LINC01267	1	0	0	1	0	0	0	0	0	0	0	0
LINC01268	1	5	3	1	0	0	64	0	0	0	1	0
LINC01269	13	0	3	3	0	3	21	8	0	2	0	4
LINC01270	0	34	0	0	45	17	0	17	0	0	0	0
LINC01271	0	0	0	0	52	9	0	12	0	0	0	0
LINC01272	2,529	979	9	1	9,693	7,215	6,134	4,631	31	55	48	84
LINC01273	0	0	0	13	0	0	0	0	0	0	0	0
LINC01276	0	0	0	0	0	0	0	0	0	0	0	0
LINC01277	0	0	71	7	0	5	0	0	8	2	7	4
LINC01278	134	5	782	816	157	248	527	406	1,118	1,110	1,236	1,296
LINC01279	249	88	298	27	40	8	19	145	97	12	16	58
LINC01280	56	0	5	0	0	0	5	0	0	2	0	0
LINC01281	5	0	0	11	0	0	0	0	29	0	158	43
LINC01282	0	0	0	0	0	0	0	0	0	0	0	0
LINC01284	2	2	4	10	0	0	0	0	6	5	0	1
LINC01285	0	8	4	0	0	0	1	0	0	0	0	0
LINC01287	0	0	0	0	0	0	0	0	0	0	0	1
LINC01288	0	2	0	1	0	0	0	0	0	0	0	0
LINC01289	95	3	76	9	0	0	0	0	0	1	2	1
LINC01291	4	3	3	0	0	1	1	0	0	2	0	0
LINC01296	155	193	235	80	0	48	61	5	23	3	46	95
LINC01298	0	0	0	0	0	0	0	0	0	0	0	0
LINC01299	58	43	58	4	17	2	63	2	6	3	2	27
LINC01300	0	1	0	0	0	0	0	0	0	0	0	0
LINC01301	124	1	1	1	1	0	4	13	8	6	10	14
LINC01304	0	1	56	0	0	0	0	0	4	0	0	12
LINC01305	29	0	0	0	0	0	1	1	8	0	0	34
LINC01307	2	0	0	0	0	0	0	0	0	0	0	0
LINC01309	0	0	0	1	0	0	0	0	0	0	0	0
LINC01310	6	0	0	0	0	0	0	8	0	0	7	0
LINC01311	53	36	10	36	37	16	30	39	165	125	142	83
LINC01312	3	0	0	1	0	0	0	0	0	0	0	0
LINC01314	32	0	25	0	0	6	1	1	4	5	0	23
LINC01315	2	19	28	19	7	2	0	2	9	0	1	12
LINC01317	4	6	3	7	1	1	4	0	4	2	1	4
LINC01320	26	0	26	11	0	0	4	8	1	0	0	7
LINC01322	1	0	0	1	0	0	0	0	0	0	0	0
LINC01324	0	0	0	0	0	0	4	0	1	0	0	4
LINC01327	0	0	1	0	0	0	0	0	0	0	0	0
LINC01330	22	1	45	1	0	5	0	0	1	0	4	7
LINC01331	0	2	1	0	0	0	0	0	0	0	0	0
LINC01333	7	28	1	0	0	0	0	0	0	0	0	0
LINC01335	0	0	0	0	0	0	0	0	0	0	0	0
LINC01336	0	0	12	13	0	0	0	0	13	18	14	14
LINC01337	0	0	4	0	4	0	0	0	3	0	0	7
LINC01338	1	0	0	0	0	0	0	0	0	0	0	2
LINC01339	0	0	0	0	0	0	0	0	0	0	0	0
LINC01340	11	0	13	0	0	0	0	0	0	0	0	0
LINC01341	0	0	6	0	0	0	0	0	0	0	0	0
LINC01342	0	0	0	2	0	0	0	0	0	0	0	0
LINC01343	0	0	0	0	0	0	0	0	0	0	0	0
LINC01344	2	0	0	0	0	0	1	0	0	0	0	0
LINC01346	3	0	0	0	0	0	0	0	0	0	0	0
LINC01347	248	194	212	183	379	327	227	203	183	180	207	189
LINC01349	0	5	4	0	0	0	0	0	0	0	0	0
LINC01350	0	0	0	0	0	0	0	0	0	0	0	0
LINC01351	5	0	6	0	0	0	0	0	1	0	0	1
LINC01352	6	14	37	0	3	10	3	5	0	0	0	0
LINC01353	13	2	0	9	71	64	6	37	2	0	7	7
LINC01354	0	0	67	115	16	0	135	26	6	19	0	2
LINC01355	206	0	342	310	145	136	93	0	353	237	290	245
LINC01356	5	33	4	2	0	3	20	1	1	2	0	8
LINC01358	0	0	10	0	0	0	0	0	1	0	3	6
LINC01359	8	0	65	0	11	0	0	0	0	0	0	1
LINC01360	2	2	53	0	0	0	0	0	7	0	0	0
LINC01361	0	0	37	0	0	0	10	7	3	0	0	6
LINC01363	0	2	14	0	0	0	0	0	0	0	0	0
LINC01364	13	0	19	0	0	0	0	0	0	0	0	0
LINC01365	0	0	0	1	0	0	0	0	0	0	0	0
LINC01366	0	53	0	1	0	0	0	7	11	0	54	54
LINC01370	0	0	0	0	0	0	0	0	0	0	0	0
LINC01372	0	1	13	4	3	1	24	1	5	10	5	2
LINC01375	4	0	25	0	0	7	0	0	0	0	0	0
LINC01377	0	0	9	3	0	0	0	0	0	0	0	0
LINC01378	0	0	0	0	0	0	0	0	0	0	0	0
LINC01384	10	0	0	0	0	0	0	0	0	0	0	0
LINC01386	0	0	1	0	0	0	0	0	0	0	0	0
LINC01387	2	0	0	1	0	0	0	0	0	0	0	0
LINC01389	6	0	18	0	34	5	0	5	6	16	1	17
LINC01391	0	0	0	0	0	0	0	0	0	0	0	0
LINC01392	1	0	0	0	0	0	0	0	0	0	0	0
LINC01393	2	0	12	0	0	0	0	0	13	19	3	11
LINC01395	0	0	17	33	0	0	0	1	8	2	13	11
LINC01396	1	0	0	0	0	0	0	0	0	0	1	0
LINC01397	0	0	0	0	0	0	0	0	0	0	0	0
LINC01398	0	0	14	0	0	0	0	0	2	12	10	0
LINC01399	0	0	0	1	0	0	0	0	0	0	0	0
LINC01402	0	0	0	0	0	0	0	0	2	0	0	0
LINC01405	0	0	0	0	0	0	3	0	0	0	0	0
LINC01410	981	597	155	24	299	2,081	1,498	2,131	16	22	11	42
LINC01411	0	24	12	0	0	0	0	0	0	0	0	4
LINC01412	0	0	0	0	5	7	4	20	0	0	0	0
LINC01413	0	0	0	0	0	0	0	0	1	0	0	0
LINC01416	1	0	8	0	0	0	0	1	0	0	0	0
LINC01419	18	8	115	22	3	2	1	0	1	2	2	4
LINC01420	326	796	961	924	1,768	1,374	1,562	2,300	2,673	2,068	2,501	2,926
LINC01422	1	0	3	3	0	0	0	7	2	9	8	8
LINC01423	0	0	0	0	4	0	0	0	0	0	0	0
LINC01424	0	0	4	3	0	1	0	2	12	15	13	9
LINC01425	0	0	16	1	0	0	0	0	0	1	1	1
LINC01426	16	35	10	63	3	6	9	15	4	12	8	71
LINC01427	0	0	0	0	0	0	0	0	0	0	0	0
LINC01428	4	0	14	3	0	0	0	0	0	0	0	3
LINC01429	0	2	79	6	1	1	3	0	4	0	1	0
LINC01430	0	3	0	0	0	0	0	0	0	0	0	0
LINC01431	0	0	0	12	20	3	20	1	36	16	29	20
LINC01432	5	0	1	0	0	0	1	0	0	0	0	0
LINC01433	0	34	21	0	0	0	0	0	3	0	0	0
LINC01435	0	0	0	0	0	0	0	0	0	0	0	0
LINC01436	13	57	0	1	0	5	0	0	2	2	2	4
LINC01440	0	0	3	7	0	0	0	0	0	0	0	0
LINC01441	20	41	114	14	1	9	26	28	2	2	4	15
LINC01443	10	11	18	3	3	5	8	5	3	4	3	9
LINC01444	0	1	0	0	0	0	0	0	0	0	0	0
LINC01445	0	0	19	0	0	0	0	2	0	0	0	0
LINC01446	116	0	92	5	0	8	54	2	21	3	4	12
LINC01447	35	19	41	27	5	6	5	5	0	7	9	20
LINC01448	21	3	14	7	0	0	0	0	0	0	0	1
LINC01449	4	0	1	0	0	0	0	0	0	0	0	3
LINC01450	0	56	0	5	0	0	0	0	1	0	0	0
LINC01455	0	0	1	0	0	0	0	0	0	0	0	0
LINC01461	0	0	0	0	0	1	0	0	0	0	0	0
LINC01465	13	27	18	45	33	46	36	53	26	59	10	50
LINC01467	0	0	0	0	0	0	0	0	0	0	0	0
LINC01468	1	0	1	0	0	0	0	0	0	0	0	0
LINC01470	46	0	116	0	0	0	0	0	0	0	16	2
LINC01471	0	0	35	0	0	0	5	0	3	0	0	0
LINC01473	5	0	0	5	1	6	3	0	14	19	4	12
LINC01474	23	0	9	0	0	0	8	15	0	0	0	1
LINC01475	0	0	5	0	0	0	0	0	0	0	0	0
LINC01476	0	16	13	1	0	0	0	0	0	0	0	0
LINC01477	0	35	0	20	0	0	0	0	0	0	2	0
LINC01478	11	0	58	81	0	0	0	9	0	0	0	0
LINC01479	0	0	0	0	0	0	0	0	0	2	0	0
LINC01480	0	0	0	17	1	1	1	0	7	2	2	13
LINC01481	129	316	124	121	706	469	730	447	570	402	387	477
LINC01482	88	29	50	58	5	2	1	1	8	2	5	8
LINC01483	0	0	14	1	0	0	0	0	3	0	0	2
LINC01484	0	0	0	0	0	1	0	0	0	0	0	0
LINC01485	0	0	0	0	0	0	0	0	0	0	0	0
LINC01486	0	0	3	4	0	0	5	0	0	0	0	1
LINC01487	0	2	0	0	0	0	0	0	0	0	0	0
LINC01488	2	0	0	0	0	0	0	0	0	0	0	2
LINC01489	3	0	8	14	0	0	0	0	0	1	2	0
LINC01490	1	0	3	14	0	0	1	0	0	0	0	0
LINC01491	0	0	0	0	0	0	0	0	0	0	0	0
LINC01492	93	6	57	7	7	6	0	6	24	0	17	12
LINC01493	5	2	6	2	0	0	0	0	0	0	0	0
LINC01494	0	0	0	1	0	0	0	0	0	0	0	0
LINC01495	0	0	1	0	0	0	0	0	0	0	0	0
LINC01496	1	1	3	1	0	0	0	0	0	0	0	1
LINC01497	0	0	4	0	0	0	0	0	0	0	0	1
LINC01498	1	0	0	0	0	0	0	0	0	0	0	0
LINC01499	0	0	1	0	0	0	0	0	0	0	0	0
LINC01500	2	0	0	0	0	0	0	0	0	0	0	0
LINC01501	5	1	4	1	1	0	0	0	0	0	0	1
LINC01502	26	13	45	31	16	9	24	10	14	7	10	12
LINC01503	188	123	1	0	764	611	630	593	2	0	0	1
LINC01504	207	90	58	69	185	383	267	245	19	0	19	16
LINC01505	17	0	0	4	0	0	0	0	18	0	0	0
LINC01506	23	30	0	1	239	160	222	231	0	0	5	0
LINC01507	0	0	0	1	0	0	0	0	0	0	0	0
LINC01508	4	0	0	0	0	0	0	0	0	0	0	1
LINC01509	0	0	10	0	0	0	1	0	0	0	0	3
LINC01510	12	0	8	1	0	0	3	0	1	0	0	0
LINC01511	0	0	0	68	0	0	0	0	0	2	1	0
LINC01512	0	0	0	0	0	0	0	0	0	0	0	0
LINC01514	3	0	0	1	0	0	6	0	1	0	0	8
LINC01515	5	0	3	4	0	0	3	0	0	0	0	0
LINC01516	2	1	9	3	0	0	39	2	0	2	0	2
LINC01517	0	2	1	0	0	1	0	2	0	0	0	0
LINC01518	0	0	78	1	8	14	0	1	1	1	0	31
LINC01519	0	0	0	0	3	0	0	0	0	0	0	0
LINC01520	23	17	6	1	0	0	1	2	1	0	0	0
LINC01521	82	52	288	22	20	23	65	17	124	58	44	122
LINC01522	0	0	0	0	0	0	0	0	0	0	0	0
LINC01523	0	0	0	0	0	0	0	0	0	0	0	0
LINC01524	32	2	10	0	0	0	1	0	0	0	28	22
LINC01525	0	0	0	0	0	0	1	0	0	0	0	0
LINC01526	13	0	18	8	0	3	0	0	0	0	0	0
LINC01529	0	0	0	0	0	0	0	0	0	0	0	1
LINC01530	76	35	150	109	25	20	11	12	20	17	45	39
LINC01531	2	200	40	3	5	12	6	2	8	2	4	4
LINC01532	1	0	0	82	0	0	0	0	0	0	1	0
LINC01533	7	0	4	0	0	0	3	0	2	0	2	7
LINC01534	15	55	92	109	25	44	28	38	53	60	55	115
LINC01535	8	0	12	17	1	1	0	0	3	3	6	14
LINC01537	21	11	26	13	16	7	101	2	7	1	6	12
LINC01538	15	0	79	0	0	0	0	0	6	0	0	0
LINC01539	32	1	14	1	0	1	0	0	3	0	0	0
LINC01541	27	5	83	24	0	11	10	0	14	0	4	1
LINC01543	3	0	0	9	0	0	3	0	2	0	0	2
LINC01544	1	1	0	1	0	2	0	0	2	2	0	0
LINC01545	0	15	5	0	1	0	1	0	0	0	0	0
LINC01546	8	0	0	0	0	0	0	0	0	0	0	0
LINC01547	38	91	56	73	172	58	64	16	148	140	46	120
LINC01548	0	0	5	0	0	0	1	0	0	0	0	0
LINC01549	2	6	8	1	0	0	0	0	0	2	0	1
LINC01550	10	1	505	486	0	0	19	10	623	644	966	921
LINC01551	39	17	79	56	0	0	44	5	10	3	13	18
LINC01552	2	0	3	0	0	0	10	0	0	0	0	0
LINC01553	10	0	71	0	0	0	0	0	6	0	0	0
LINC01554	8	1	12	2	0	2	25	0	4	0	10	4
LINC01555	0	0	0	0	0	0	0	0	0	0	0	0
LINC01556	38	0	0	5	0	0	0	0	2	0	2	0
LINC01558	4	5	13	8	15	1	20	2	3	2	1	6
LINC01559	0	0	348	0	0	0	6	0	0	0	0	0
LINC01560	62	16	85	1	103	54	59	53	88	285	115	76
LINC01561	0	0	52	0	0	0	6	0	0	0	0	0
LINC01563	0	0	0	1	0	0	0	0	0	0	0	0
LINC01564	1	0	3	0	0	0	0	0	0	0	0	0
LINC01565	6	11	35	16	5	8	34	8	4	9	18	31
LINC01566	11	1	3	1	0	0	0	0	0	0	0	0
LINC01567	0	2	66	2	1	0	66	0	7	0	0	0
LINC01568	6	0	0	0	1	0	33	0	12	0	0	11
LINC01569	3	10	84	7	52	37	105	29	197	206	192	152
LINC01570	0	0	0	0	0	0	0	0	0	0	0	0
LINC01571	3	0	0	0	0	0	0	0	0	0	0	0
LINC01572	29	0	70	0	7	8	5	0	28	0	4	15
LINC01573	9	0	1	7	21	5	11	22	10	9	0	1
LINC01574	0	0	0	0	0	0	0	0	0	0	0	0
LINC01578	861	987	1,156	820	1,571	1,179	3,112	1,305	2,886	1,070	3,018	4,656
LINC01580	10	0	0	8	1	0	0	0	2	0	0	0
LINC01581	5	12	17	26	0	0	0	0	4	0	0	8
LINC01582	8	0	10	0	0	0	0	0	0	0	0	0
LINC01583	3	27	0	0	0	0	0	0	0	0	0	0
LINC01584	1	1	0	0	0	0	0	0	0	0	0	0
LINC01585	3	0	0	1	0	8	0	1	0	0	7	0
LINC01586	0	0	0	18	8	0	44	0	0	24	1	0
LINC01587	1	0	1	0	0	0	6	0	0	0	0	0
LINC01588	128	2	279	188	17	73	129	97	293	505	309	582
LINC01589	0	0	0	0	0	0	0	0	0	0	2	0
LINC01590	0	0	6	14	3	2	1	7	19	23	14	23
LINC01591	0	5	0	0	0	0	3	0	0	0	0	0
LINC01592	0	67	75	1	0	0	3	0	0	0	1	0
LINC01594	6	20	0	0	0	0	0	0	0	0	0	0
LINC01599	16	0	3	44	15	18	45	2	29	53	52	98
LINC01600	0	0	56	35	0	0	0	0	0	0	0	0
LINC01602	19	93	3	5	1	1	0	9	1	0	0	1
LINC01603	0	0	0	0	0	0	0	0	0	0	0	0
LINC01604	23	0	27	77	57	46	64	109	204	129	127	137
LINC01605	21	5	8	0	0	1	1	0	9	0	2	5
LINC01606	31	0	67	0	0	0	0	7	0	0	6	13
LINC01607	0	0	0	0	0	0	0	0	0	0	0	0
LINC01608	2	0	4	1	0	0	0	0	0	0	0	2
LINC01609	0	0	0	1	0	0	0	0	0	0	0	0
LINC01611	1	0	0	1	0	0	0	0	0	0	0	0
LINCMD1	2	0	0	0	0	0	0	0	0	0	0	0
LINCR-0001	0	0	3	9	0	7	0	0	1	0	0	0
LINCR-0002	3	0	5	0	0	0	1	0	0	0	0	2
LINCR-0003	8	0	32	18	0	0	0	0	0	0	0	9
LINGO1	0	0	0	0	0	0	0	0	0	0	0	2
LINGO1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LINGO1-AS2	10	0	0	0	0	0	0	0	0	0	0	0
LINGO2	268	0	282	53	0	0	6	45	45	0	36	19
LINGO3	334	307	37	172	1,090	404	493	232	201	229	130	263
LINGO4	31	0	1	0	0	0	0	0	26	2	16	19
LINS	845	385	1,756	2,849	560	1,148	1,317	1,209	6,703	4,329	3,625	4,192
LIPA	7,949	7,294	1,017	1,743	9,757	29,320	17,643	14,327	5,239	5,505	4,880	4,148
LIPC	0	64	6	76	26	0	0	34	130	23	12	0
LIPE	6	131	17	73	5	3	0	3	36	73	34	108
LIPE-AS1	6	0	0	1	0	0	0	0	23	22	3	0
LIPF	0	0	0	2	0	0	0	0	0	0	0	0
LIPG	1	0	18	22	0	0	23	0	9	0	0	0
LIPH	0	0	6	26	1	0	0	16	0	0	0	5
LIPI	4	0	54	0	0	0	3	0	0	0	1	0
LIPJ	1	0	3	0	0	2	3	2	2	0	0	0
LIPK	1	0	6	0	0	0	0	0	0	0	0	0
LIPM	2	9	0	3	0	0	0	0	0	0	0	0
LIPN	198	282	0	3	303	460	311	246	14	0	2	0
LIPT1	108	80	353	351	263	335	383	364	1,127	927	990	569
LIPT2	89	23	63	191	435	211	90	128	376	243	267	328
LITAF	5,741	8,645	5,089	5,881	31,361	11,955	11,466	13,083	14,960	14,958	15,243	14,632
LIX1	29	1	65	1	0	0	9	0	49	0	9	13
LIX1L	248	518	1,090	529	691	741	584	1,118	1,569	1,629	1,809	2,005
LKAAEAR1	0	0	0	0	0	1	1	13	0	2	2	6
LL22NC01-81G9.3	2	2	10	7	0	1	1	1	4	4	1	4
LL22NC03-63E9.3	10	7	84	6	7	3	3	2	3	9	3	7
LL22NC03-75H12.2	0	0	6	0	0	0	0	5	56	55	18	99
LLGL1	106	34	101	84	55	44	36	10	75	65	20	89
LLGL2	151	0	805	1,338	295	378	331	478	1,148	1,432	1,368	1,768
LLPH	888	1,396	375	696	3,166	3,329	2,180	3,007	1,475	1,461	1,455	1,172
LLPH-AS1	7	9	8	12	0	1	1	0	4	0	0	4
LMAN1	531	725	1,543	1,683	591	682	1,645	2,383	3,236	3,450	3,203	2,401
LMAN1L	0	1	0	1	0	0	0	0	0	0	0	0
LMAN2	2,862	2,976	1,707	1,793	18,802	12,431	9,009	9,942	5,994	6,398	6,873	6,335
LMAN2L	390	625	168	421	698	1,014	993	988	474	732	756	809
LMBR1	1,082	1,438	968	1,036	1,714	2,283	1,544	2,261	2,014	2,518	2,264	1,583
LMBR1L	889	391	1,080	1,144	1,983	2,213	1,972	1,691	2,372	2,421	2,759	2,808
LMBRD1	1,971	1,563	1,090	1,273	3,246	3,423	3,768	4,820	3,579	4,160	2,989	2,551
LMBRD2	376	614	694	696	155	782	175	578	930	779	778	722
LMCD1	7	0	0	58	0	0	0	0	37	1	62	36
LMCD1-AS1	41	0	35	1	0	0	1	0	0	0	11	0
LMF1	201	208	818	1,113	1,188	444	579	516	1,460	859	1,140	1,750
LMF1-AS1	12	0	53	22	9	5	33	3	8	19	21	78
LMF2	276	648	519	1,371	1,838	1,265	1,500	1,219	1,531	1,395	1,718	1,785
LMLN	271	277	110	818	15	77	18	49	307	271	214	262
LMLN-AS1	2	0	5	0	0	0	0	0	0	1	0	0
LMNA	119	494	242	678	729	1,544	2,473	1,512	1,026	892	1,560	1,665
LMNB1	423	1,410	72	84	1,944	1,952	1,197	1,322	528	373	242	164
LMNB2	210	203	54	254	793	636	491	628	616	533	652	876
LMNTD1	26	20	36	22	37	19	23	8	16	14	8	21
LMNTD2	31	64	119	175	194	83	116	109	117	101	125	148
LMO1	0	0	3	0	0	0	1	0	0	0	0	2
LMO2	1,288	1,666	3	1	4,540	2,784	4,429	3,160	23	2	6	27
LMO3	1	78	63	0	3	0	5	16	0	0	0	3
LMO4	458	365	256	210	1,183	919	849	880	219	169	295	312
LMO7	93	212	974	718	17	35	30	132	1,261	1,132	1,170	1,153
LMO7-AS1	1	1	3	0	0	3	0	0	4	6	1	3
LMO7DN	2	0	6	2	0	0	1	6	5	0	6	0
LMO7DN-IT1	0	0	0	0	0	0	0	0	0	0	0	0
LMOD1	0	0	0	0	0	0	0	0	0	0	0	6
LMOD2	36	99	76	3	0	0	0	3	0	0	0	0
LMOD3	61	0	61	5	1	6	43	14	3	6	1	2
LMTK2	420	766	747	764	707	1,533	706	447	1,152	1,697	1,308	1,221
LMTK3	0	52	3	20	1	0	0	0	0	12	3	2
LMX1A	0	0	70	0	0	0	0	0	0	0	0	0
LMX1B	8	7	37	12	12	8	13	9	8	8	6	15
LNP1	9	142	79	69	3	0	0	0	101	80	12	4
LNPEP	1,006	379	1,493	1,313	362	914	691	538	1,915	2,103	1,578	1,559
LNX1	84	71	67	64	17	23	60	77	95	90	80	86
LNX1-AS1	0	6	0	0	0	0	0	0	0	0	0	0
LNX1-AS2	8	0	0	1	0	1	0	0	0	0	0	0
LNX2	218	141	738	185	263	242	145	399	799	763	669	446
LOC100049716	183	248	133	72	383	343	567	529	314	186	282	300
LOC100101148	13	24	0	0	13	3	0	1	3	0	15	0
LOC100101478	0	0	0	1	0	0	0	0	9	0	6	0
LOC100126784	2	0	1	0	0	0	0	14	14	0	1	22
LOC100128006	1	153	1	4	0	3	0	5	3	0	13	26
LOC100128076	0	0	0	0	0	0	0	0	0	0	0	0
LOC100128164	2	3	23	4	3	7	80	0	3	1	1	0
LOC100128176	0	0	43	0	0	0	0	0	0	0	0	2
LOC100128233	1	5	1	4	0	3	9	1	0	2	2	1
LOC100128239	6	0	0	94	0	1	1	0	112	144	71	40
LOC100128288	138	11	269	94	28	11	14	96	76	13	54	150
LOC100128317	19	1	14	1	0	0	0	1	0	0	0	1
LOC100128361	10	0	1	0	11	11	0	0	31	10	18	47
LOC100128398	26	59	30	23	13	12	61	31	32	37	30	27
LOC100128494	404	795	757	1,397	538	902	1,017	1,109	1,979	2,375	2,040	2,259
LOC100128531	5	7	13	11	4	10	11	2	7	3	10	11
LOC100128554	3	1	14	3	0	0	1	0	0	0	0	0
LOC100128568	1	0	13	0	0	6	10	1	1	0	0	0
LOC100128573	4	1	37	66	11	2	0	2	13	14	16	25
LOC100128593	0	0	0	1	0	1	0	0	2	2	0	3
LOC100128714	73	81	12	71	0	0	0	7	0	0	2	4
LOC100128770	1	0	1	1	0	0	0	0	0	0	1	0
LOC100128885	67	0	0	7	0	0	0	0	0	0	2	1
LOC100128993	4	0	5	0	0	0	11	0	0	0	0	1
LOC100129027	0	0	5	0	0	0	0	1	0	0	0	3
LOC100129034	1,237	1,032	301	722	2,274	2,813	2,593	2,378	527	456	541	683
LOC100129046	0	0	0	0	0	2	0	19	14	3	0	7
LOC100129055	1	1	4	0	0	0	0	0	0	0	0	0
